Bulan_Tahun,Curah_Hujan,Time_Index,Kategori
2025-11-24,77.57,694,Tinggi
2025-11-25,50.66,695,Sedang
2025-11-26,32.51,696,Rendah
2025-11-27,62.68,697,Sedang
2025-11-28,33.49,698,Rendah
2025-11-29,10.77,699,Rendah
2025-11-30,8.04,700,Rendah
2025-12-01,3.41,701,Rendah
2025-12-02,3.72,702,Rendah
2025-12-03,17.57,703,Rendah
2025-12-04,0.51,704,Rendah
2025-12-05,2.98,705,Rendah
2025-12-06,6.15,706,Rendah
2025-12-07,32.43,707,Rendah
2025-12-08,20.57,708,Rendah
2025-12-09,61.67,709,Sedang
2025-12-10,70.7,710,Sedang
2025-12-11,23.83,711,Rendah
2025-12-12,13.52,712,Rendah
2025-12-13,21.14,713,Rendah
2025-12-14,20.96,714,Rendah
2025-12-15,10.89,715,Rendah
2025-12-16,16.73,716,Rendah
2025-12-17,14.48,717,Rendah
2025-12-18,11.04,718,Rendah
2025-12-19,4.52,719,Rendah
2025-12-20,6.26,720,Rendah
2025-12-21,6.13,721,Rendah
2025-12-22,4.64,722,Rendah
2025-12-23,1.82,723,Rendah
2025-12-24,2.49,724,Rendah
2025-12-25,20.99,725,Rendah
2025-12-26,10.25,726,Rendah
2025-12-27,4.19,727,Rendah
2025-12-28,14.15,728,Rendah
2025-12-29,18.97,729,Rendah
2025-12-30,30.79,730,Rendah
2025-12-31,15.23,731,Rendah
